sample_id,label,pytorch_score,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,fpga_score,latency_us,ap_ctrl,abs_error,rel_error,pytorch_pred,fpga_pred,pred_match
0,0,-0.7949671745300293,0.0578252375125885,0.4533582031726837,0.1014444380998611,0.4925373196601867,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,-2.6849653720855717,110.31399981220602,14,1.8899981975555424,2.3774543881926653,0,0,True
1,0,-0.7502377033233643,0.1014444380998611,0.4925373196601867,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,-2.641356468200684,106.12899995976476,14,1.8911187648773198,2.5206927837672506,0,0,True
2,0,-1.2679443359375,0.0752729177474975,0.447761207818985,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,-2.660701036453247,106.46100008671056,14,1.392756700515747,1.0984367854650043,0,0,True
3,0,-1.459468126296997,0.0694570243358612,0.4608208835124969,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,-2.6723790168762207,105.67400022409856,14,1.2129108905792236,0.8310636379957503,0,0,True
4,0,-1.4676308631896973,0.0520093441009521,0.4533582031726837,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,-2.692455291748047,102.42500002277666,14,1.2248244285583496,0.8345589202835101,0,0,True
5,0,-1.4351789951324463,0.0578252375125885,0.4682835936546325,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,-2.6897518634796143,105.53199990681604,14,1.254572868347168,0.8741577688930634,0,0,True
6,0,-1.0281527042388916,0.0752729177474975,0.4757462739944458,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,-2.669675827026367,105.95100002319668,14,1.6415231227874756,1.5965752130201734,0,0,True
7,0,-1.0544719696044922,0.0520093441009521,0.4496268630027771,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,-2.691258668899536,106.7999996848812,14,1.636786699295044,1.5522334841285201,0,0,True
8,0,-1.657196283340454,0.0694570243358612,0.4757462739944458,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,-2.677165508270264,103.42099994886668,14,1.01996922492981,0.615478827211603,0,0,True
9,0,-1.7346248626708984,0.0694570243358612,0.4645522534847259,0.0694570243358612,0.4645522534847259,0.0723649710416793,0.466417908668518,0.0752729177474975,0.466417908668518,0.0898126512765884,0.4738805890083313,0.0781808644533157,0.4570895433425903,0.0694570243358612,0.4589552283287048,0.0752729177474975,0.4682835936546325,-2.6735756397247314,127.10700002571684,14,0.938950777053833,0.5412990423808859,0,0,True
